Rank;Country/Territory;Capital;Continent; Population_2024 ; Population_2022 ; Population_2020 ; Population_2015 ; Population_2010 ; Population_2000 ; Area (km²) ; Density (per km²) ; Growth_Rate ; Growth_Absolute ;Growth_Percent; Population World
77;Benin;Porto-Novo;Africa; 14.462.724 ; 13.352.864 ; 12.643.123 ; 10.932.783 ; 9.445.710 ; 6.998.023 ; 112.622 ; 1.185.635 ; 10.274 ; 7.464.701 ;107%; 17
146;Gabon;Libreville;Africa; 2.538.952 ; 2.388.992 ; 2.292.573 ; 2.028.517 ; 1.711.105 ; 1.272.935 ; 267.668 ; 89.252 ; 10.204 ; 1.266.017 ;99%; 3
22;Tanzania;Dodoma;Africa; 68.560.157 ; 65.497.748 ; 61.704.518 ; 52.542.823 ; 45.110.527 ; 34.463.704 ; 945.087 ; 693.034 ; 103 ; 34.096.453 ;99%; 82
58;Burkina Faso;Ouagadougou;Africa; 23.548.781 ; 22.673.762 ; 21.522.626 ; 18.718.019 ; 16.116.845 ; 11.882.888 ; 272.967 ; 830.641 ; 10.259 ; 11.665.893 ;98%; 28
50;Madagascar;Antananarivo;Africa; 31.964.956 ; 29.611.714 ; 28.225.177 ; 24.850.912 ; 21.731.053 ; 16.216.431 ; 587.041 ; 504.423 ; 10.241 ; 15.748.525 ;97%; 37
12;Ethiopia;Addis Ababa;Africa; 132.059.767 ; 123.379.924 ; 117.190.911 ; 102.471.895 ; 89.237.791 ; 67.031.867 ; 1.104.300 ; 1.117.268 ; 10.257 ; 65.027.900 ;97%; 155
86;South Sudan;Juba;Africa; 11.943.408 ; 10.913.164 ; 10.606.227 ; 11.194.299 ; 9.714.419 ; 6.114.440 ; 619.745 ; 176.091 ; 10.153 ; 5.828.968 ;95%; 14
48;Mozambique;Maputo;Africa; 34.631.766 ; 32.969.517 ; 31.178.239 ; 26.843.246 ; 23.073.723 ; 17.768.505 ; 801.590 ; 411.302 ; 10.278 ; 16.863.261 ;95%; 41
121;Liberia;Monrovia;Africa; 5.612.817 ; 5.302.681 ; 5.087.584 ; 4.612.329 ; 4.019.956 ; 2.895.224 ; 111.369 ; 476.136 ; 1.021 ; 2.717.593 ;94%; 7
53;Cameroon;Yaounde;Africa; 29.123.744 ; 27.914.536 ; 26.491.087 ; 23.012.646 ; 19.878.036 ; 15.091.594 ; 475.442 ; 587.128 ; 10.263 ; 14.032.150 ;93%; 35
62;Malawi;Lilongwe;Africa; 21.655.286 ; 20.405.317 ; 19.377.061 ; 16.938.942 ; 14.718.422 ; 11.229.387 ; 118.484 ; 17.222 ; 10.259 ; 10.425.899 ;93%; 26
93;Papua New Guinea;Port Moresby;Oceania; 10.576.502 ; 10.142.619 ; 9.749.640 ; 8.682.174 ; 7.583.269 ; 5.508.297 ; 462.840 ; 219.139 ; 10.194 ; 5.068.205 ;92%; 13
142;Gambia;Banjul;Africa; 2.759.988 ; 2.705.992 ; 2.573.995 ; 2.253.133 ; 1.937.275 ; 1.437.539 ; 10.689 ; 2.531.567 ; 1.025 ; 1.322.449 ;92%; 3
32;Sudan;Khartoum;Africa; 50.448.963 ; 46.874.204 ; 44.440.486 ; 38.171.178 ; 33.739.933 ; 26.298.773 ; 1.886.068 ; 248.529 ; 10.267 ; 24.150.190 ;92%; 59
126;Mauritania;Nouakchott;Africa; 5.169.395 ; 4.736.139 ; 4.498.604 ; 3.946.220 ; 3.419.461 ; 2.695.003 ; 1.030.700 ; 45.951 ; 10.263 ; 2.474.392 ;92%; 6
